step,position,velocity,control,robust_control,sliding_mode,backstepping
0,1.0,-0.5232678615388847,-5.232678615388847,-2.193100081845639,-1.6,-1.6767321384611154
1,0.9476732138461115,-0.8361664463637042,-3.3906197790176367,-1.1643017134925837,-1.5476732138461116,-1.248714624097741
2,0.864056569209741,-0.9958895484293503,-2.015314243838313,-0.4343530742968822,-0.2640565692097411,-0.9050349038320801
3,0.764467614366806,-1.0476452999745978,-1.0155022896671513,0.0630586220778313,-0.16446761436680601,-0.6341834516323753
4,0.6597030843693462,-1.026481997347655,-0.31218962371787207,0.38322429123011625,-0.05970308436934624,-0.4248647882649066
5,0.5570548846345806,-0.9590070615873213,0.1615083589295101,0.5713741635822269,0.04294511536541934,-0.26651368460875613
6,0.4611541784758485,-0.8649465571756656,0.46110151332289595,0.6638292837701778,0.13884582152415148,-0.14959263547120105
7,0.37465952275828196,-0.7585194216468165,0.6317980767006577,0.6892165162795114,0.22534047724171802,-0.06573152842140378
8,0.2988075805936003,-0.6496192932061073,0.709741573583683,0.6696612716608148,0.3011924194063997,-0.007757384099813303
9,0.23384565127298956,-0.5448093786752295,0.7232894987057248,0.6219033329758964,0.3661543487270104,0.030348945874652478
10,0.1793647134054666,-0.4481436838837076,0.6942522585776034,0.5583042869443331,0.42063528659453336,0.05354131439168108
11,0.13455034501709584,-0.36183235573645106,0.6390414395307116,0.4877317503198046,0.46544965498290414,0.06582159669884022
12,0.09836710944345073,-0.28677083536288384,0.5696990258674469,0.4163172078518767,0.5016328905565492,0.07036319458729223
13,0.06969002590716235,-0.22295275913998036,0.49479534454759266,0.3480920050184756,0.5303099740928376,0.0696347021442232
14,0.047394749993164315,-0.1697856555251976,0.4201946565778374,0.28551082571795405,0.5526052500068357,0.0655172055402361
15,0.030416184440644554,-0.12632691089743078,0.3496946185150693,0.22987460986487776,0.5450481743000728,0.05941130512801277
16,0.017783493350901475,-0.09145553924054096,0.2855502611201826,0.18166594714025333,0.4242487819869355,0.05233185386855772
17,0.00863793942684738,-0.06399321710405381,0.22889545174460102,0.14081000417222894,0.3234937266363912,0.044989750364989575
18,0.0022386177164419978,-0.04278599255629385,0.18007563692557269,0.10687337285070042,0.24104563132266912,0.03786103358012145
19,-0.002039981539187388,-0.0267561449866298,0.13890547941849357,0.07921214384951329,0.1748167406940905,0.031244104372842054
20,-0.0047155960378503685,-0.01493192043824602,0.10486417299052286,0.05707921324295005,0.1226006948944287,0.02530623172151683
21,-0.00620878808167497,-0.006461323510822343,0.07724000905511375,0.039699463516156,0.08222945763665884,0.020120657290507278
22,-0.006854920432757205,-0.0006148196128253564,0.05523437722455869,0.026320119410293375,0.05167336070625257,0.01569564456489121
23,-0.00691640239403974,0.003219315752539816,0.03803394384723904,0.016242325078139472,0.029098922243039286,0.011996769514347612
24,-0.006594470818785759,0.00554418595626608,0.024858359913532545,0.008838857183501593,0.012896179993903828,0.00896364984506259
25,-0.006040052223159151,0.006765932596718762,0.014989559382659851,0.0035618953771944482,0.0016847699818014839,0.006522182294231369
26,-0.005363458963487274,0.007206391239740103,0.007787552728572799,-5.6079489016341855e-05,-0.005694134694029698,0.004593218479931899
27,-0.004642819839513264,0.007115732871959698,0.0026966119420659927,-0.002405903160369073,-0.010194658355165337,0.0030984707749694826
28,-0.003931246552317294,0.006684434576821816,-0.0007551165153989597,-0.003808093218221927,-0.01258788159470984,0.00196430783827623
29,-0.003262803094635112,0.006054187619166411,-0.0029602522881431483,-0.004520667899353906,-0.013485504052552678,0.001123979189030836
30,-0.002657384332718471,0.005327543744791897,-0.004239344934161931,-0.004747501040385339,-0.013363572139722084,0.0005187017871887386
31,-0.002124629958239281,0.004576236185176251,-0.004849303723760511,-0.004646588475354777,-0.012585007403382538,9.794972295016757e-05
32,-0.0016670063397216561,0.003848203415529736,-0.004992209603877024,-0.004337824297532567,-0.011420176115126824,-0.00018078946814209258
33,-0.0012821859981686826,0.0031734017865706933,-0.004823914581825562,-0.003910051480638544,-0.01006510873224338,-0.0003525925905995917
34,-0.0009648458195116133,0.0025685264082005933,-0.004462052890415653,-0.0034272716818226487,-0.008657237712622265,-0.0004458656052750442
35,-0.0007079931786915539,0.002040775044015262,-0.003993250437753017,-0.0029339833240522423,-0.007288698013250693,-0.00048319005089384316
36,-0.0005039156742900277,0.0015907927261493648,-0.0034794356566513395,-0.0024596734765342625,-0.006017346636865995,-0.00048217824271130384
37,-0.00034483640167509125,0.0012149295127962087,-0.0029632357704568765,-0.0020225244068883238,-0.004875722265051613,-0.0004562894291110079
38,-0.00022334345039547036,0.0009069334432883864,-0.002472495938680117,-0.0016324154847678772,-0.0038781965069620253,-0.0004155778524183516
39,-0.0001326501060666317,0.0006591876169592223,-0.0020239915416474475,-0.0012933097746869377,-0.0030265749592889115,-0.00036735738361263256
