time,target,state,error,control,controller
0.0,1.0,0.16832,1.0,8.416,pid
0.02,1.0,0.1849253376,0.83168,1.0154188799999997,pid
0.04,1.0,0.218834884947968,0.8150746624,1.8988952387584004,pid
0.06,1.0,0.2485442316486387,0.781165115052032,1.726185708476301,pid
0.08,1.0,0.27691841400381056,0.7514557683513613,1.692107772572097,pid
0.1,1.0,0.30369800942309905,0.7230815859961894,1.6435900263686167,pid
0.12,1.0,0.32901720023232794,0.696301990576901,1.6000273508268554,pid
0.14,1.0,0.35295401073404364,0.6709827997676721,1.5587594453413458,pid
0.16,1.0,0.37558818485410594,0.6470459892659564,1.5199581178105628,pid
0.18,1.0,0.39699409493240895,0.6244118151458941,1.483442507254668,pid
0.2,1.0,0.41724194487986355,0.6030059050675911,1.4490860017983787,pid
0.22,1.0,0.4363978951243365,0.5827580551201365,1.4167636515914992,pid
0.24,1.0,0.4545243094896144,0.5636021048756634,1.3863584029006644,pid
0.26,1.0,0.4716799713757896,0.5454756905103856,1.3577598347473347,pid
0.28,1.0,0.48792028963658457,0.5283200286242105,1.3308638815531182,pid
0.3,1.0,0.5032974923614858,0.5120797103634154,1.3055724548453047,pid
0.32,1.0,0.5178608095623956,0.4967025076385142,1.2817931016431217,pid
0.34,1.0,0.5316566453630607,0.48213919043760445,1.2594386805518887,pid
0.36,1.0,0.5447287402991924,0.4683433546369393,1.238427056705951,pid
0.38,1.0,0.5571183242966431,0.4552712597008076,1.2186808142016483,pid
0.4,1.0,0.5688642608631391,0.4428816757033569,1.2001269850511063,pid
0.42,1.0,0.5800031829982187,0.4311357391368609,1.1826967937034338,pid
0.44,1.0,0.5905696212970533,0.41999681700178126,1.1663254162397696,pid
0.46,1.0,0.6005961246965038,0.40943037870294674,1.1509517533992846,pid
0.48,1.0,0.610113374286016,0.3994038753034962,1.1365182166417631,pid
0.5,1.0,0.6191502905816834,0.389886625713984,1.122970526497988,pid
0.52,1.0,0.6277341346389292,0.38084970941831664,1.110257522502148,pid
0.54,1.0,0.6358906033576941,0.37226586536107076,1.098330984041064,pid
0.56,1.0,0.6436439193136887,0.3641093966423059,1.0871454614931915,pid
0.58,1.0,0.6510169154301156,0.3563560806863113,1.076658117066407,pid
0.6,1.0,0.6580311147862032,0.34898308456988436,1.0668285747775064,pid
0.62,1.0,0.6647068058418738,0.34196888521379676,1.0576187790483529,pid
0.64,1.0,0.6710631133418281,0.3352931941581262,1.0489928614237758,pid
0.66,1.0,0.6771180651472022,0.3289368866581719,1.0409170149447136,pid
0.68,1.0,0.6828886552287026,0.3228819348527978,1.0333593757369421,pid
0.7000000000000001,1.0,0.6883909030416896,0.31711134477129743,1.026289911400924,pid
0.72,1.0,0.6936399094910158,0.3116090969583104,1.0196803158121683,pid
0.74,1.0,0.6986499096814913,0.30636009050898416,1.0135039099638938,pid
0.76,1.0,0.7034343226385976,0.3013500903185087,1.0077355485049533,pid
0.78,1.0,0.7080057981734664,0.2965656773614024,1.0023515316458957,pid
0.8,1.0,0.7123762610561474,0.2919942018265336,0.9973295221248601,pid
0.8200000000000001,1.0,0.7165569526517652,0.2876237389438526,0.9926484669426545,pid
0.84,1.0,0.7205584701652888,0.2834430473482348,0.988288523593122,pid
0.86,1.0,0.7243908036322642,0.27944152983471116,0.9842309905305862,pid
0.88,1.0,0.7280633707849747,0.27560919636773584,0.980458241631019,pid
0.9,1.0,0.7315850499160561,0.27193662921502526,0.9769536644175424,pid
0.92,1.0,0.7349642108545842,0.2684149500839439,0.9737016018340655,pid
0.9400000000000001,1.0,0.7382087441630483,0.2650357891454158,0.9706872973632446,pid
0.96,1.0,0.7413260886573954,0.26179125583695173,0.9678968432967059,pid
0.98,1.0,0.7443232573464618,0.25867391134260465,0.9653171319764565,pid
1.0,1.0,0.7472068618815764,0.25567674265353824,0.9629358098368378,pid
1.02,1.0,0.7499831356019051,0.25279313811842363,0.9607412340861684,pid
1.04,1.0,0.7526579552561925,0.2500168643980949,0.9587224318764642,pid
1.06,1.0,0.7552368614769227,0.2473420447438075,0.9568690618183233,pid
1.08,1.0,0.757725078078556,0.2447631385230773,0.9551713777062832,pid
1.1,1.0,0.7601275302473816,0.24227492192144395,0.9536201943276875,pid
1.12,1.0,0.762448861686647,0.23987246975261844,0.952206855235395,pid
1.1400000000000001,1.0,0.7646934507769715,0.23755113831335295,0.9509232023715317,pid
1.16,1.0,0.7668654258085975,0.23530654922302852,0.9497615474359679,pid
1.18,1.0,0.7689686793387948,0.2331345741914025,0.9487146448993182,pid
1.2,1.0,0.7710068817246613,0.23103132066120524,0.9477756665659969,pid
1.22,1.0,0.7729834938786848,0.22899311827533875,0.9469381775983072,pid
1.24,1.0,0.7749017792917068,0.2270165061213152,0.9461961139176492,pid
1.26,1.0,0.776764815365364,0.22509822070829322,0.9455437609037388,pid
1.28,1.0,0.778575504093672,0.22323518463463599,0.9449757333173039,pid
1.3,1.0,0.7803365821311304,0.22142449590632796,0.9444869563759613,pid
1.32,1.0,0.7820506302825868,0.21966341786886956,0.9440726479170607,pid
1.34,1.0,0.783720082448071,0.2179493697174132,0.9437283015850563,pid
1.36,1.0,0.7853472340539046,0.216279917551929,0.9434496709845581,pid
1.3800000000000001,1.0,0.7869342499995907,0.2146527659460954,0.9432327547435986,pid
1.4000000000000001,1.0,0.7884831721482966,0.21306575000040928,0.9430737824348434,pid
1.42,1.0,0.7899959263871432,0.21151682785170345,0.9429692013054584,pid
1.44,1.0,0.7914743292820098,0.21000407361285678,0.9429156637691869,pid
1.46,1.0,0.7929200943501431,0.20852567071799022,0.9429100156168758,pid
1.48,1.0,0.794334837972523,0.2070799056498569,0.942949284904153,pid
1.5,1.0,0.7957200849666756,0.20566516202747698,0.9430306714774013,pid
1.52,1.0,0.7970772738394354,0.20427991503332443,0.9431515371013326,pid
1.54,1.0,0.7984077617380405,0.20292272616056461,0.9433093961536344,pid
1.56,1.0,0.7997128291168857,0.2015922382619595,0.9435019068541016,pid
1.58,1.0,0.8009936841362655,0.20028717088311432,0.9437268629975628,pid
1.6,1.0,0.8022514668085009,0.19900631586373452,0.9439821861616633,pid
1.62,1.0,0.8034872529059585,0.1977485331914991,0.9442659183622285,pid
1.6400000000000001,1.0,0.8047020576446374,0.19651274709404154,0.9445762151305022,pid
1.6600000000000001,1.0,0.805896839156216,0.19529794235536257,0.9449113389880299,pid
1.68,1.0,0.8070725017607061,0.19410316084378398,0.945269653296344,pid
1.7,1.0,0.8082298990511692,0.1929274982392939,0.9456496164599275,pid
1.72,1.0,0.8093698368012866,0.19177010094883085,0.9460497764621598,pid
1.74,1.0,0.810493075705961,0.1906301631987134,0.9464687657151309,pid
1.76,1.0,0.8116003339645353,0.18950692429403904,0.9469052962052756,pid
